name,description
Bulbasaur,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
Venusaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
Charmander,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
Charmeleon,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
Charizard,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
Squirtle,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
Wartortle,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
Blastoise,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
Caterpie,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
Metapod,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
Butterfree,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
Weedle,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
Kakuna,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
Beedrill,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
Pidgey,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
Pidgeotto,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.
Pidgeot,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
Rattata,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
Raticate,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
Spearow,"Inept at flying high. However, it can fly around very fast to protect its territory."
Fearow,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly."
Ekans,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
Arbok,The frightening patterns on its belly have been studied. Six variations have been confirmed.
Pikachu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
Raichu,Its long tail serves as a ground to protect itself from its own high-voltage power.
Sandshrew,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body."
Sandslash,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched."
Nidoran♀,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators."
Nidorina,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.
Nidoqueen,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack."
Nidoran♂,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears."
